"","jurisdiction","year","state_population","murder_index","rape_index","robbery_index","agg_assault_index","total_violent_index","burglary_index","larceny_index","vehicle_theft_index","property_crime_index","crime_rate"
"128","MISSOURI",2003,5719204,5.05315075314677,24.478930984102,116.90438039979,344.313649242097,490.750111379136,734.315474670951,2825.84779280473,523.691758503456,4083.85502597914,4574.60513735828
"129","MONTANA",2003,918157,3.26741504993155,26.7928034094387,32.45632282932,302.453719788664,364.970261077354,405.377293861507,2483.23543794798,207.589769505651,3096.20250131513,3461.17276239249
"130","NEBRASKA",2003,1737475,3.22306795781234,29.0076116203111,67.0513244794889,194.535173167959,293.817177225572,583.202636009151,2815.81029942877,352.925941380452,3751.93887681837,4045.75605404394
"131","NEVADA",2003,2242207,8.78598630724104,38.8456551959743,233.029332260581,335.383842794176,616.044816557972,979.302981392887,2378.05876085482,929.842784363799,4287.2045266115,4903.24934316948
"132","NEW HAMPSHIRE",2003,1288705,1.31915372408736,33.9876077147214,37.246693385996,77.7524724432667,150.305927268071,356.093908225699,1546.82413740926,149.995538156521,2052.91358379148,2203.21951105955
"133","NEW JERSEY",2003,8642412,4.69776261534396,14.9032469176429,154.378199049062,190.363523516352,364.3427320984,502.834162500006,1646.38066317597,400.420623316732,2549.63544899271,2913.97818109111
"134","NEW MEXICO",2003,1878562,6.17493593503967,50.038273956356,103.110783673895,507.94171286335,667.265706428641,1011.25222377542,2693.28347959769,384.549458575229,4089.08516194834,4756.35086837698
"135","NEW YORK",2003,19212425,4.86143732506438,19.6487429358865,186.285697927253,254.975621245106,465.771499433309,392.730225361973,1620.94061525289,235.28523858909,2248.95607920395,2714.72757863726
"136","NORTH CAROLINA",2003,8421190,6.00865198386451,25.4002106590636,145.217006147587,277.502348242944,454.12821703346,1195.63862114499,2755.91691910526,319.337290810444,4270.89283106069,4725.02104809415
"137","NORTH DAKOTA",2003,633400,1.42090306283549,25.2604988948532,8.36754025892011,45.1531417745501,80.2020839911588,309.283233343859,1630.40732554468,170.192611304073,2109.88317019261,2190.08525418377
"138","OHIO",2003,11437680,4.59883472872121,40.7425282050206,147.713522322709,140.79778416602,333.85266942247,831.31369298669,2460.14051800715,358.612935490414,3650.06714648425,3983.91981590672
"139","OKLAHOMA",2003,3506469,5.87485587352975,42.8065954668357,91.9443462925239,365.809593639641,506.435391272531,993.763241597174,2948.94949876927,369.545545675721,4312.25828604217,4818.6936773147
"140","OREGON",2003,3564330,1.90779192723457,34.1719201084075,79.8747590711298,178.799381650969,294.753852757741,801.328720965792,3431.97739827682,532.330059225717,4765.63617846832,5060.39003122606
"141","PENNSYLVANIA",2003,12370761,5.230074366484,28.7452000729785,145.342715779571,218.47483756254,397.792827781573,435.850308643098,1724.05723463577,270.330984488343,2430.23852776721,2828.03135554878
"142","RHODE ISLAND",2003,1076084,2.323238706272,46.9294218666944,77.1315250482304,159.281245702008,285.665431323205,513.342824537861,2074.18751695964,407.681928176611,2995.21226967411,3280.87770099732
"143","SOUTH CAROLINA",2003,4148744,7.30341520228773,47.0503844054972,139.825450787033,612.209381923782,806.3886323186,1060.39321780279,3080.66730557489,380.597115657172,4521.65763903485,5328.04627135345
"144","SOUTH DAKOTA",2003,764905,1.30735189337238,46.5417274040567,13.5964596910727,112.301527640687,173.747066629189,376.255874912571,1512.86761101052,114.262555480746,2003.38604140383,2177.13310803302
